Category,Flagged Type,Flagged ID,Comments,Created At
Bad GPS data,Activity,8937003135,"","Apr 22, 2023, 2:52:54 PM"
Bad GPS data,Activity,9639480826,"","Aug 13, 2023, 1:36:05 PM"
Bad GPS data,Activity,10972553758,"","Mar 16, 2024, 3:34:21 PM"
Bad GPS data,Activity,12687780014,"","Oct 18, 2024, 9:25:43 PM"
Bad GPS data,Activity,13066736096,"","Dec 7, 2024, 4:53:57 PM"
Bad GPS data,Activity,13081989665,"","Dec 9, 2024, 10:36:12 PM"
Bad GPS data,Activity,13389184549,"","Jan 18, 2025, 4:18:33 PM"
Bad GPS data,Activity,13635601025,"","Feb 15, 2025, 5:30:48 PM"
Bad GPS data,Activity,14126460491,"","Apr 9, 2025, 12:58:38 PM"
Bad GPS data,Activity,14554578640,"","May 21, 2025, 8:24:14 PM"
Bad GPS data,Activity,14676264477,"","Jun 2, 2025, 8:55:11 PM"
This activity has been automatically flagged as being in a vehicle,Activity,15455871728,"","Aug 14, 2025, 12:37:30 PM"
