Follower Athlete ID,Follow Status,Favorite Status
106481,Accepted,""
717856,Accepted,""
1525615,Accepted,""
10860860,Accepted,""
13508046,Accepted,""
13950091,Accepted,""
13970937,Accepted,""
15147355,Accepted,Subscribed to Activity Notifications on Upload
18299399,Accepted,""
18877006,Accepted,""
19567006,Accepted,""
21681900,Accepted,""
22780284,Accepted,""
23185777,Accepted,""
25497687,Accepted,""
25600507,Accepted,""
27059775,Accepted,""
27586397,Accepted,""
28905030,Accepted,Boost Activities in Feed
30255908,Accepted,""
31827422,Accepted,""
36722602,Accepted,""
37410633,Accepted,""
38347992,Accepted,""
41065270,Accepted,""
42452619,Accepted,""
44131240,Accepted,""
44439202,Accepted,""
51528361,Accepted,""
52049037,Accepted,""
52365890,Accepted,""
52553031,Accepted,""
52818770,Accepted,""
54821641,Accepted,""
56255552,Accepted,""
57648099,Accepted,""
59751121,Accepted,""
60061060,Accepted,""
61061634,Accepted,""
61518481,Accepted,""
62361513,Accepted,""
65489828,Accepted,""
65724193,Accepted,""
65757909,Accepted,""
69300453,Accepted,""
86029113,Accepted,""
86753695,Accepted,""
89861556,Accepted,""
96411831,Accepted,""
101078521,Accepted,""
102899268,Accepted,""
109407438,Accepted,""
115197736,Accepted,""
117201729,Accepted,""
142754297,Accepted,""
144597703,Accepted,Subscribed to Activity Notifications on Upload
191287379,Accepted,""
