Join Date,Name,Completed
"Apr 10, 2023, 12:23:48 PM",Oakley NYC Challenge (Manhattan),true
"Feb 28, 2024, 3:09:26 PM",PUMA Forever. Faster. 25k Challenge,true
"Mar 7, 2024, 12:14:18 PM",Nike Feel Invincible Challenge,true
"Jul 3, 2024, 2:53:28 PM",MUSH Morning Coffee Run Challenge,true
"Sep 20, 2024, 1:14:14 PM",HOKA Mach Speed Challenge,true
"Feb 3, 2025, 6:49:20 PM",Rise for 2025 w/ Eight Sleep,true
"Apr 1, 2025, 2:08:38 PM",Brooks NYC: Let's Run There,true
"Apr 3, 2025, 12:48:29 PM",Columbia Run Every Surface NYC,true
"Apr 21, 2025, 5:24:16 PM",Red Bull Pass City Limits: Heartbreak Hill,true
"May 3, 2025, 2:28:16 PM",Brooks NYC: Let's Run There,true
"Jun 17, 2025, 12:49:32 PM",Brooks NYC: Let's Run There,true
